Release,Date,Author Count,Commit Count
Important upgrade for 1.3,2013-06-25T02:16:21+00:00,0,0
CakePHP 2.3.7,2013-07-05T02:05:00+00:00,0,0
CakePHP 2.4.0-beta,2013-07-05T02:07:25+00:00,0,0
CakePHP 2.3.8,2013-07-18T02:15:15+00:00,0,0
CakePHP 2.2.9,2013-07-18T02:17:26+00:00,0,0
CakePHP 2.3.9 released,2013-08-11T22:37:35+00:00,0,0
CakePHP 2.4.0-RC1 released,2013-08-11T22:42:55+00:00,0,0
CakePHP 2.4.0-RC2 released,2013-08-19T14:49:03+00:00,0,0
CakePHP 2.3.10 released,2013-08-30T19:56:44+00:00,0,0
CakePHP 2.4.0 is ready,2013-08-30T20:03:49+00:00,0,0
CakePHP 2.4.1 released,2013-09-15T02:07:19+00:00,0,0
CakePHP 2.4.2 released,2013-10-23T01:49:25+00:00,0,0
CakePHP 2.4.3 released,2013-11-25T02:25:25+00:00,0,0
CakePHP 2.4.4 released,2013-12-24T02:44:46+00:00,0,0
CakePHP 3.0.0 dev preview 1 released,2014-01-05T21:37:10+00:00,0,0
CakePHP 2.4.5 Released,2014-01-26T20:06:00+00:00,0,0
CakePHP 2.4.6 Released,2014-03-02T02:22:04+00:00,0,0
CakePHP 3.0.0 dev preview 2 released,2014-03-12T21:12:39+00:00,0,0
CakePHP 2.5.0-beta Released,2014-03-26T01:31:38+00:00,0,0
CakePHP 2.4.7 Released,2014-04-05T02:25:48+00:00,0,0
CakePHP 2.5.0-RC1 Released,2014-04-11T00:54:20+00:00,0,0
CakePHP 2.5.0-RC2 Released,2014-04-27T02:04:40+00:00,0,0
CakePHP 2.4.8 released,2014-04-29T00:35:20+00:00,0,0
CakePHP 1.3.18 released,2014-04-29T00:37:44+00:00,0,0
CakePHP 2.4.9 released,2014-04-30T01:52:10+00:00,0,0
CakePHP 3.0.0-dev3 released,2014-05-06T13:45:19+00:00,0,0
CakePHP 2.5.0 released,2014-05-13T02:17:12+00:00,0,0
CakePHP 2.4.10 and 2.5.1 released,2014-05-18T02:31:48+00:00,0,0
CakePHP 1.3.19 released,2014-06-15T01:27:20+00:00,0,0
CakePHP 2.5.2 released,2014-06-15T01:36:39+00:00,0,0
CakePHP 3.0.0-alpha1 released,2014-06-25T20:14:44+00:00,0,0
CakePHP 2.5.3 released,2014-07-21T02:20:47+00:00,0,0
CakePHP 1.3.20 released,2014-07-21T02:22:20+00:00,0,0
CakePHP 3.0.0-alpha2 released,2014-07-28T02:30:49+00:00,0,0
CakePHP 3.0.0-beta1 released,2014-08-23T09:25:45+00:00,0,0
CakePHP 2.5.4 released,2014-09-02T02:05:27+00:00,0,0
CakePHP 3.0.0-beta2 released,2014-09-28T13:32:51+00:00,0,0
CakePHP 2.5.5 released,2014-10-05T02:59:04+00:00,0,0
CakePHP 2.6.0-beta released,2014-10-05T03:01:03+00:00,0,0
CakePHP 2.5.6 released,2014-11-08T01:35:12+00:00,0,0
CakePHP  2.6.0-RC released,2014-11-08T01:36:25+00:00,0,0
CakePHP 3.0.0-beta3 released,2014-11-17T02:31:29+00:00,0,0
CakePHP 2.5.7 released,2014-12-09T01:50:36+00:00,0,0
CakePHP 2.5.8 released,2014-12-23T16:21:16+00:00,0,0
CakePHP 2.6.0 Released,2014-12-23T16:26:27+00:00,0,0
CakePHP 3.0.0-RC1,2015-01-02T19:00:12+00:00,0,0
CakePHP 2.6.1 Released,2015-01-16T02:36:35+00:00,0,0
CakePHP 3.0.0-RC2 released,2015-02-09T01:58:52+00:00,0,0
CakePHP 2.6.2 Released,2015-02-19T12:34:27+00:00,0,0
CakePHP 2.6.3 Released,2015-03-16T02:06:30+00:00,0,0
CakePHP 3.0.0 Released,2015-03-22T16:42:46+00:00,0,0
CakePHP 3.0.1 released,2015-04-05T01:14:57+00:00,0,0
CakePHP 2.6.4 Released,2015-04-20T01:10:16+00:00,0,0
CakePHP 3.0.2 released,2015-04-20T01:29:22+00:00,0,0
CakePHP 3.0.3 released,2015-05-03T14:53:51+00:00,0,0
CakePHP 3.0.4 released,2015-05-08T01:45:39+00:00,0,0
CakePHP 3.0.5 released,2015-05-18T01:39:10+00:00,0,0
CakePHP 2.6.5 Released,2015-05-25T01:01:09+00:00,0,0
CakePHP 2.6.6 Released,2015-05-28T13:50:27+00:00,0,0
CakePHP 3.0.6 released,2015-05-28T14:55:30+00:00,0,0
CakePHP 2.6.7 Released,2015-05-28T23:30:33+00:00,0,0
CakePHP 3.0.7 released,2015-06-15T01:39:19+00:00,0,0
CakePHP 2.7.0-RC Released,2015-06-15T02:50:06+00:00,0,0
CakePHP 3.0.8 released,2015-06-28T17:00:48+00:00,0,0
CakePHP 2.6.8 Released,2015-06-30T02:35:55+00:00,0,0
CakePHP 2.7.0 Released,2015-07-12T01:34:20+00:00,0,0
CakePHP 2.6.9 Released,2015-07-16T01:22:16+00:00,0,0
CakePHP 3.0.9 released,2015-07-17T01:56:43+00:00,0,0
CakePHP 3.0.10 released,2015-07-21T20:55:01+00:00,0,0
CakePHP 2.6.10 Released,2015-07-23T02:08:48+00:00,0,0
CakePHP 2.7.1 Released,2015-07-24T01:08:54+00:00,0,0
CakePHP 3.1.0-beta released,2015-08-01T11:00:15+00:00,0,0
