Path,Date,Commit Count
refs/tags/1.2.0,2008-12-25,4649
refs/tags/1.2.1,2009-01-16,49
refs/tags/1.2.2,2009-03-19,118
refs/tags/1.2.3,2009-05-04,48
refs/tags/1.2.4,2009-12-09,139
refs/tags/1.2.5,2009-12-09,0
refs/tags/1.3-dev,2009-12-09,0
refs/tags/1.3.0-alpha,2009-12-09,0
refs/tags/1.3.0-beta,2010-01-16,367
refs/tags/1.2.6,2010-01-29,15
refs/tags/1.3.0-RC1,2010-02-28,124
refs/tags/1.3.0-RC2,2010-03-14,65
refs/tags/1.3.0-RC3,2010-03-28,95
refs/tags/1.3.0-RC4,2010-04-12,72
refs/tags/1.2.7,2010-04-23,13
refs/tags/1.3.0,2010-04-25,6
refs/tags/1.3.1,2010-05-29,78
refs/tags/1.3.2,2010-06-07,17
refs/tags/1.3.3,2010-07-18,55
refs/tags/1.2.8,2010-08-21,12
refs/tags/1.3.4,2010-09-12,25
refs/tags/1.3.5,2010-10-24,57
refs/tags/1.3.6,2010-11-13,31
refs/tags/1.2.9,2010-11-13,1
refs/tags/2.0.0-dev,2010-12-26,337
refs/tags/1.3.7,2011-01-19,25
refs/tags/1.3.8,2011-03-20,50
refs/tags/1.2.10,2011-03-20,1
refs/tags/1.3.9,2011-05-20,68
refs/tags/2.0.0-alpha,2011-05-20,1
refs/tags/1.3.10,2011-05-30,14
refs/tags/2.0.0-beta,2011-07-26,311
refs/tags/1.3.11,2011-07-26,1
refs/tags/2.0.0-RC1,2011-09-04,239
refs/tags/2.0.0-RC2,2011-09-18,68
refs/tags/1.3.12,2011-09-18,3
refs/tags/1.2.11,2011-09-18,1
refs/tags/2.0.0-RC3,2011-10-03,102
refs/tags/1.3.13,2011-10-15,18
refs/tags/2.0.0,2011-10-16,19
refs/tags/2.0.1,2011-10-30,127
refs/tags/2.0.2,2011-11-02,20
refs/tags/2.0.3,2011-11-13,87
refs/tags/2.0.4,2011-11-28,79
refs/tags/2.0.5,2011-12-28,131
refs/tags/1.3.14,2011-12-28,1
refs/tags/2.1.0-alpha,2012-01-08,87
refs/tags/2.1.0-beta,2012-01-22,136
refs/tags/2.0.6,2012-02-05,30
refs/tags/2.1.0-RC,2012-02-20,131
refs/tags/2.1.0,2012-03-04,117
refs/tags/1.3.15,2012-03-25,5
refs/tags/2.1.1,2012-03-25,3
refs/tags/2.2.0-beta,2012-04-29,317
refs/tags/2.1.2,2012-04-29,2
refs/tags/2.1.3,2012-05-22,46
refs/tags/2.2.0-RC1,2012-05-22,4
refs/tags/2.2.0-RC2,2012-06-19,135
refs/tags/2.1.4,2012-07-01,7
refs/tags/2.2.0,2012-07-01,2
refs/tags/2.2.1,2012-07-14,27
refs/tags/2.1.5,2012-07-14,3
refs/tags/2.2.2,2012-09-01,118
refs/tags/2.2.3,2012-10-08,66
refs/tags/2.3.0-beta,2012-10-28,100
refs/tags/2.2.4,2012-12-02,78
refs/tags/2.3.0-RC1,2012-12-02,1
refs/tags/2.2.5,2013-01-08,47
refs/tags/2.3.0-RC2,2013-01-08,4
refs/tags/2.2.6,2013-01-28,35
refs/tags/2.3.0,2013-01-28,3
refs/tags/2.2.7,2013-02-01,3
refs/tags/2.3.1,2013-03-02,81
refs/tags/2.3.2,2013-04-07,83
refs/tags/2.3.3,2013-04-24,43
refs/tags/2.2.8,2013-04-28,2
refs/tags/2.3.4,2013-04-28,1
refs/tags/1.3.16,2013-04-29,2
refs/tags/1.2.12,2013-04-29,0
refs/tags/2.3.5,2013-05-11,40
refs/tags/2.3.6,2013-06-09,93
refs/tags/1.3.17,2013-06-24,2
refs/tags/2.3.7,2013-07-04,40
refs/tags/2.4.0-beta,2013-07-04,3
refs/tags/2.3.8,2013-07-17,45
refs/tags/2.2.9,2013-07-17,3
refs/tags/2.3.9,2013-08-12,79
refs/tags/2.4.0-RC1,2013-08-12,0
refs/tags/2.4.0-RC2,2013-08-19,57
refs/tags/2.3.10,2013-08-30,23
refs/tags/2.4.0,2013-08-30,6
refs/tags/2.4.1,2013-09-14,87
refs/tags/2.4.2,2013-10-22,155
refs/tags/2.4.3,2013-11-24,106
refs/tags/2.4.4,2013-12-23,62
refs/tags/3.0.0-dev1,2014-01-05,206
refs/tags/2.4.5,2014-01-26,35
refs/tags/2.4.6,2014-03-01,68
refs/tags/3.0.0-dev2,2014-03-12,202
refs/tags/2.5.0-beta,2014-03-25,46
refs/tags/2.4.7,2014-04-04,25
refs/tags/2.5.0-RC1,2014-04-10,45
refs/tags/2.5.0-RC2,2014-04-26,50
refs/tags/2.4.8,2014-04-28,1
refs/tags/1.3.18,2014-04-28,1
refs/tags/2.4.9,2014-04-29,8
refs/tags/3.0.0-dev3,2014-05-06,52
refs/tags/2.5.0,2014-05-12,27
refs/tags/2.4.10,2014-05-17,3
refs/tags/2.5.1,2014-05-17,1
refs/tags/1.3.19,2014-06-14,3
refs/tags/2.5.2,2014-06-14,1
refs/tags/3.0.0-alpha1,2014-06-25,168
refs/tags/2.5.3,2014-07-20,56
refs/tags/1.3.20,2014-07-20,1
refs/tags/3.0.0-alpha2,2014-07-27,97
refs/tags/3.0.0-beta1,2014-08-23,512
refs/tags/2.5.4,2014-09-01,22
refs/tags/3.0.0-beta2,2014-09-28,574
refs/tags/2.5.5,2014-10-04,8
refs/tags/2.6.0-beta,2014-10-04,1
refs/tags/2.5.6,2014-11-07,54
refs/tags/2.6.0-RC1,2014-11-07,3
refs/tags/3.0.0-beta3,2014-11-16,176
refs/tags/2.5.7,2014-12-08,27
refs/tags/2.5.8,2014-12-23,28
refs/tags/2.6.0,2014-12-23,0
refs/tags/3.0.0-RC1,2015-01-02,126
refs/tags/2.6.1,2015-01-15,33
refs/tags/3.0.0-RC2,2015-02-08,245
refs/tags/2.6.2,2015-02-19,11
refs/tags/2.6.3,2015-03-15,38
refs/tags/3.0.0,2015-03-22,60
refs/tags/3.0.1,2015-04-04,154
refs/tags/2.6.4,2015-04-19,10
refs/tags/3.0.2,2015-04-19,3
refs/tags/3.0.3,2015-05-03,120
