Release,Date,Author Count,Commit Count
v0.1.2,2017-11-08T15:31:55+00:00,0,0
v0.2.1,2017-12-11T15:56:46+00:00,0,0
0.2.2,2017-12-22T10:30:38+00:00,0,0
v0.2.6,2018-01-05T14:08:49+00:00,0,0
v1.0.0-beta,2018-03-06T14:43:55+00:00,0,0
v1.0.1-beta,2018-03-18T14:53:35+00:00,0,0
v1.0.2-beta,2018-03-21T11:52:25+00:00,0,0
v1.0.3-beta,2018-03-23T09:13:01+00:00,0,0
v1.0.4-beta,2018-04-10T04:13:05+00:00,0,0
v1.0.5-beta,2018-04-10T13:54:40+00:00,0,0
v1.0.6-beta,2018-07-06T05:16:35+00:00,0,0
v1.0.7-beta,2018-08-09T10:18:19+00:00,0,0
v1.0.8-beta,2018-10-01T08:36:02+00:00,0,0
v1.0.9-beta,2019-03-21T07:53:23+00:00,0,0
v2.0.0,2019-05-20T18:05:17+00:00,0,0
v2.0.1,2019-05-28T13:39:36+00:00,0,0
v2.0.2,2019-06-21T13:01:49+00:00,0,0
v2.0.3,2019-07-08T17:36:41+00:00,0,0
v2.0.4,2019-07-19T12:54:11+00:00,0,0
v2.0.5,2019-08-06T14:54:16+00:00,0,0
v2.0.6,2019-09-20T17:23:41+00:00,0,0
v2.0.7,2019-11-17T16:49:50+00:00,0,0
v2.0.8,2020-01-18T09:56:22+00:00,0,0
v2.0.9,2020-04-15T07:11:15+00:00,0,0
v2.0.10,2020-09-14T05:17:08+00:00,0,0
v2.0.11,2021-05-06T16:15:50+00:00,40,1324
