Path,Date,Commit Count
refs/tags/v0.1,2017-09-06,186
refs/tags/v0.1.1,2017-09-28,26
refs/tags/v0.1.2,2017-11-08,124
refs/tags/v0.2.1,2017-12-11,81
refs/tags/v0.2.2,2017-12-22,27
refs/tags/v0.2.6,2018-01-05,19
refs/tags/v1.0.0,2018-03-06,145
refs/tags/v1.0.1,2018-03-18,46
refs/tags/v1.0.2,2018-03-21,4
refs/tags/v1.0.3,2018-03-23,5
refs/tags/v1.0.4,2018-04-10,18
refs/tags/v1.0.5,2018-04-10,0
refs/tags/v1.0.6,2018-07-06,60
refs/tags/v1.0.7,2018-08-09,10
refs/tags/v1.0.8,2018-10-01,10
refs/tags/v1.0.9,2019-03-21,7
refs/tags/v2.0.0,2019-05-21,98
refs/tags/v2.0.1,2019-05-28,11
refs/tags/v2.0.2,2019-06-21,29
refs/tags/v2.0.3,2019-07-09,55
refs/tags/v2.0.4,2019-07-19,44
refs/tags/v2.0.5,2019-08-06,37
refs/tags/v2.0.6,2019-09-21,73
refs/tags/v2.0.7,2019-11-18,36
refs/tags/v2.0.8,2020-01-18,28
refs/tags/v2.0.9,2020-04-15,23
refs/tags/v2.0.10,2020-09-14,29
refs/tags/v2.0.11,2021-05-07,4
