Author,Closeness,Betweenness,Centrality
inhere,0.854138824807145,0.5395255979893849,0.8381924198250729
manyoubaby123,0.4648332784895821,0.0,0.004373177842565598
dirklu,0.45501976803589633,0.0,0.0029154518950437317
256mywind,0.48108860891295296,0.0,0.01020408163265306
zuoqiang320,0.4546997822637192,0.0,0.0014577259475218659
shaniu00,0.47161421617724925,4.823787601340749e-05,0.007288629737609329
uhonliu,0.47966104627522904,0.0,0.004373177842565598
curtis18,0.47788846295566056,1.5610892055317582e-05,0.007288629737609329
goodluckekin,0.4771830925306338,0.0,0.004373177842565598
lidaqi001,0.4733404761193329,0.0,0.004373177842565598
gitwanzx,0.47299421388369334,0.0,0.0029154518950437317
wu50,0.4644993465366442,0.0,0.0029154518950437317
laocainiao,0.46516769092015015,0.0028303292119767616,0.004373177842565598
vyaaki,0.4618450645564348,0.0,0.004373177842565598
phpwei,0.4800171420779575,0.00012914557369878626,0.016034985422740525
adon988,0.47299421388369334,0.0,0.0029154518950437317
flanchegong,0.4800171420779575,0.0,0.0058309037900874635
sunyang3721,0.465502584866097,8.512268306697028e-07,0.0058309037900874635
nangge,0.484694970299107,4.1477347770042056e-05,0.01020408163265306
goshja,0.4733404761193329,0.0,0.004373177842565598
alignwebs,0.4546997822637192,0.0,0.0014577259475218659
lengyuhen,0.4818055815044775,0.0,0.018950437317784258
fingerred,0.4733404761193329,0.0,0.004373177842565598
jmt33,0.4800171420779575,0.0,0.0058309037900874635
webphplove,0.48542274052478135,0.0001231863153387157,0.011661807580174927
FlameMida,0.47438231135657283,5.674845537798018e-06,0.008746355685131196
JinPengCN,0.4736872456989075,0.0,0.004373177842565598
mrainyo,0.4733404761193329,0.0,0.004373177842565598
JayenLee,0.4803737669977777,0.00017905488825452218,0.007288629737609329
vatezj,0.47966104627522904,0.0,0.004373177842565598
zuohuadong,0.47966104627522904,0.0,0.004373177842565598
982865723,0.4736872456989075,0.0,0.0058309037900874635
yyuemc,0.4569491804798649,2.766487199676534e-06,0.01020408163265306
anihy,0.47299421388369334,0.0,0.0029154518950437317
DobeLee,0.4546997822637192,0.0,0.0014577259475218659
burugo,0.4785959218201397,6.92940710178054e-05,0.008746355685131196
MonkWang,0.4546997822637192,0.0,0.0014577259475218659
kxg2020,0.4546997822637192,0.0,0.0014577259475218659
evilk123,0.4775355172666239,0.0,0.0058309037900874635
leablogs,0.46217518969192906,1.2354611639581104e-05,0.0058309037900874635
hzccc,0.4615154106916551,0.0,0.0029154518950437317
Jurigag,0.45501976803589633,0.0,0.0029154518950437317
huangzhhui,0.5507522064557144,0.06488544946140294,0.239067055393586
iyueshang,0.46516769092015015,0.0,0.0058309037900874635
lipengyao2016,0.45534020449225965,0.0,0.004373177842565598
okool,0.4825246943126931,6.233885380956096e-05,0.016034985422740525
18786769297,0.4733404761193329,0.0,0.004373177842565598
sevend93,0.4775355172666239,0.0,0.0058309037900874635
easyphplib,0.47299421388369334,0.0,0.0029154518950437317
Uestczhouxin,0.45534020449225965,0.0,0.004373177842565598
ChongmingDu,0.4546997822637192,0.0,0.0014577259475218659
michael23-24,0.4736872456989075,0.0,0.0058309037900874635
autumnattack,0.4546997822637192,0.0,0.0014577259475218659
qijinkui,0.47299421388369334,0.0,0.0029154518950437317
5202m,0.47299421388369334,0.0,0.0029154518950437317
lragon,0.4556610925856298,0.0,0.004373177842565598
feison,0.4775355172666239,0.0,0.0058309037900874635
be1ief,0.45534020449225965,0.0,0.0029154518950437317
JOSEFAzyq,0.465502584866097,0.0,0.004373177842565598
seymourde,0.4648332784895821,0.0,0.004373177842565598
YZWLEO,0.4546997822637192,0.0,0.0014577259475218659
JiankangMai,0.4800171420779575,0.00016115210173646888,0.0058309037900874635
chenfc77,0.4782419307537047,0.0,0.0058309037900874635
evokelektrique,0.4618450645564348,0.0,0.004373177842565598
MassiAtHG,0.4546997822637192,0.0,0.0014577259475218659
dearlin,0.47966104627522904,0.0,0.004373177842565598
xjr1022,0.4775355172666239,1.4192180670868076e-05,0.0058309037900874635
sp56,0.4775355172666239,0.0,0.0058309037900874635
sqrtcat,0.47788846295566056,0.0,0.007288629737609329
zfArthur,0.4733404761193329,0.0,0.004373177842565598
summerKK,0.45501976803589633,0.0,0.0029154518950437317
dcdebug,0.47788846295566056,6.286948871699138e-05,0.007288629737609329
spicyCray,0.4618450645564348,0.0,0.004373177842565598
XueSiLf,0.45534020449225965,0.0,0.0029154518950437317
zch513430014,0.4631684028502928,1.915260369006831e-06,0.008746355685131196
dionyang25,0.4546997822637192,0.0,0.0014577259475218659
minbaby,0.5020055049526465,0.0,0.09912536443148688
harishdurga,0.4615154106916551,0.0,0.0029154518950437317
hotrush,0.47788846295566056,0.0,0.007288629737609329
EPsheep,0.45534020449225965,0.0,0.004373177842565598
layasugar,0.5020055049526465,0.0,0.09912536443148688
zwyao314,0.4615154106916551,0.0,0.0029154518950437317
EdenChan,0.4803737669977777,0.002830329211976762,0.0058309037900874635
ryanho2009,0.47788846295566056,0.0,0.007288629737609329
ywqyuan,0.5031775022404738,0.0007901513055691515,0.10349854227405247
6xiaowu9,0.4733404761193329,0.0,0.004373177842565598
first236108,0.4782419307537047,0.0,0.0058309037900874635
G-Bruin,0.4733404761193329,0.0,0.004373177842565598
ningge123,0.4615154106916551,0.0,0.0029154518950437317
WeakChickenPeng,0.4618450645564348,0.0,0.004373177842565598
wslinging,0.5091205436055187,0.0005476749678495139,0.10204081632653061
120064921,0.4546997822637192,0.0,0.0014577259475218659
rondaful,0.47299421388369334,0.0,0.0029154518950437317
trrtly,0.47788846295566056,0.0,0.007288629737609329
php-lsys,0.5031775022404738,0.00023550946770286663,0.10204081632653061
98P,0.45501976803589633,0.0,0.0029154518950437317
huangshunyang,0.4615154106916551,0.0,0.0029154518950437317
hihozhou,0.5020055049526465,0.0,0.09912536443148688
doobas,0.4546997822637192,0.0,0.0014577259475218659
tw2066,0.5023955636200534,6.824001759202117e-05,0.10058309037900874
rainbowMorelhahahah,0.47788846295566056,0.0001322357236255643,0.007288629737609329
stltd,0.47299421388369334,0.0,0.0029154518950437317
xemxx,0.4803737669977777,8.512268306697028e-07,0.007288629737609329
id0612,0.47299421388369334,0.0,0.0029154518950437317
dyanakiev,0.4546997822637192,0.0,0.0014577259475218659
guoguicheng,0.4733404761193329,0.0,0.004373177842565598
biiiiiigmonster,0.4747306096762179,0.0,0.0058309037900874635
twose,0.483607397441293,0.0,0.018950437317784258
DavidYanXW,0.5020055049526465,0.0,0.09912536443148688
woodongwong,0.4709272326139904,0.0,0.004373177842565598
hpc-lib,0.4736872456989075,0.0,0.0058309037900874635
xwp93922,0.4733404761193329,0.0,0.004373177842565598
kenny1002,0.4747306096762179,0.0028303292119767616,0.008746355685131196
heibor,0.4839693790262042,0.0008889447095139359,0.02040816326530612
MrCJJW,0.4771830925306338,0.0,0.004373177842565598
feikoo,0.4644993465366442,0.0,0.0029154518950437317
ZxGame00,0.4615154106916551,0.0,0.0029154518950437317
kasnet,0.4546997822637192,0.0,0.0014577259475218659
jlzan1314,0.5023955636200534,7.069911732506699e-05,0.10058309037900874
wzzq,0.4807309222148764,7.093556922247523e-07,0.008746355685131196
bugsos,0.47299421388369334,0.0,0.0029154518950437317
songmingming121,0.47299421388369334,0.0,0.0029154518950437317
lin1622,0.4736872456989075,0.0,0.004373177842565598
fredmanxu,0.46283685782319883,3.911927748407073e-05,0.0058309037900874635
qrong503,0.4644993465366442,0.0,0.0029154518950437317
JasonYHZ,0.4947077967704734,0.008504897065040625,0.06851311953352769
calnexus,0.4618450645564348,0.0,0.004373177842565598
cailiming94,0.4615154106916551,0.0,0.0029154518950437317
ren-jimmy,0.4747306096762179,0.0,0.0058309037900874635
zuojianghua,0.4546997822637192,0.0,0.0014577259475218659
