Author,Closeness,Betweenness,Centrality
stelin,0.7321704144620812,0.28642952293055646,0.6577380952380952
256mywind,0.4806954696772326,0.0,0.010416666666666666
uhonliu,0.47923881673881674,0.0,0.004464285714285714
curtis18,0.4781521074038081,1.6268616239342233e-05,0.00744047619047619
goodluckekin,0.4774303683737646,0.0,0.004464285714285714
lidaqi001,0.4734994297120046,0.0,0.004464285714285714
gitwanzx,0.47314527905403,0.0,0.002976190476190476
phpwei,0.4803304769136204,0.00013556012132231,0.016369047619047616
adon988,0.47314527905403,0.0,0.002976190476190476
flanchegong,0.47960215170222753,0.0,0.005952380952380952
goshja,0.4734994297120046,0.0,0.004464285714285714
nangge,0.4843761394297382,4.18961710743699e-05,0.010416666666666666
lengyuhen,0.4821610046457607,0.0,0.019345238095238096
boolw,0.4175546126041176,0.0,0.001488095238095238
fingerred,0.4734994297120046,0.0,0.004464285714285714
jmt33,0.47960215170222753,0.0,0.005952380952380952
webphplove,0.4851190476190476,0.00012682787917867407,0.011904761904761904
FlameMida,0.47456506983888824,5.913940340169848e-06,0.008928571428571428
JinPengCN,0.4738541109327626,0.0,0.004464285714285714
mrainyo,0.4734994297120046,0.0,0.004464285714285714
JayenLee,0.4799660380085266,0.00017794976079519396,0.00744047619047619
vatezj,0.47923881673881674,0.0,0.004464285714285714
zuohuadong,0.47923881673881674,0.0,0.004464285714285714
982865723,0.4738541109327626,0.0,0.005952380952380952
evilk123,0.47779096532872967,0.0,0.005952380952380952
anihy,0.47314527905403,0.0,0.002976190476190476
burugo,0.4788760318661908,7.314281851220323e-05,0.008928571428571428
huangzhhui,0.547701504844362,0.06109371474010437,0.2306547619047619
okool,0.4821610046457607,6.075165618491144e-05,0.016369047619047616
18786769297,0.4734994297120046,0.0,0.004464285714285714
sevend93,0.47779096532872967,0.0,0.005952380952380952
easyphplib,0.47314527905403,0.0,0.002976190476190476
michael23-24,0.4738541109327626,0.0,0.005952380952380952
qijinkui,0.47314527905403,0.0,0.002976190476190476
5202m,0.47314527905403,0.0,0.002976190476190476
patrickkh7788,0.4326916813236923,0.0,0.004464285714285714
feison,0.47779096532872967,0.0,0.005952380952380952
JiankangMai,0.47960215170222753,0.0001616582632390597,0.005952380952380952
chenfc77,0.47851379583603487,0.0,0.005952380952380952
dearlin,0.47923881673881674,0.0,0.004464285714285714
xjr1022,0.47779096532872967,1.479013115429977e-05,0.005952380952380952
